,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Intentional homicide count and rate per 100,000 population, by country/territory (2000-2012)",,,,,,,,,,,,,,,,,,
Intentional homicide is defined as unlawful death purposefully inflicted on a person by another person,,,,,,,,,,,,,,,,,,
Region,Sub-region,Country/territory, Source,,Indicator,Year,,,,,,,,,,,,
,,,,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Africa,Eastern Africa,Burundi,PH,WHO,Rate,,,,,,,,,,,,,8.0
,,,,,Count,,,,,,,,,,,,,790
,,Comoros,PH,WHO,Rate,,,,,,,,,,,,,10.0
,,,,,Count,,,,,,,,,,,,,72
,,Djibouti,PH,WHO,Rate,,,,,,,,,,,,,10.1
,,,,,Count,,,,,,,,,,,,,87
,,Eritrea,PH,WHO,Rate,,,,,,,,,,,,,7.1
,,,,,Count,,,,,,,,,,,,,437
,,Ethiopia,PH,WHO,Rate,,,,,,,,,,,,,12.0
,,,,,Count,,,,,,,,,,,,,"11,048"
,,Kenya,CJ,CTS,Rate,,,,,4.0,3.5,3.5,3.4,3.6,5.6,5.5,6.3,6.4
,,,,,Count,,,,,"1,395","1,260","1,286","1,281","1,413","2,218","2,239","2,641","2,761"
,,Madagascar,PH,WHO,Rate,,,,,,,,,,,,,11.1
,,,,,Count,,,,,,,,,,,,,"2,465"
,,Malawi,CJ,National police,Rate,6.2,7.7,4.8,2.5,3.3,1.5,6.2,5.0,5.5,2.2,3.5,2.2,1.8
,,,,,Count,700,900,567,300,411,200,821,690,780,320,520,343,279
,,Mauritius,CJ,CTS,Rate,,,,,,,,,,3.1,2.7,2.8,
,,,,,Count,,,,,,,,,,38,33,34,
,,Mayotte,CJ,National police,Rate,,,,,,,0.6,14.5,2.6,6.0,,,
,,,,,Count,,,,,,,1,27,5,12,,,
,,Mozambique,PH,WHO,Rate,,,,,,,,,,,,,12.4
,,,,,Count,,,,,,,,,,,,,"3,133"
,,Réunion,CJ,National police,Rate,,,,,2.9,3.2,2.4,3.0,2.2,1.8,,,
,,,,,Count,,,,,23,25,19,24,18,15,,,
,,Rwanda,PH,WHO,Rate,,,,,,,,,,,,,23.1
,,,,,Count,,,,,,,,,,,,,"2,648"
,,Seychelles,PH,WHO,Rate,,,,,,,,,,,,,9.5
,,,,,Count,,,,,,,,,,,,,9
,,Somalia,PH,WHO,Rate,,,,,,,,,,,,,8.0
,,,,,Count,,,,,,,,,,,,,819
,,South Sudan,CJ,National police,Rate,,,,,,,,,,,,,13.9
,,,,,Count,,,,,,,,,,,,,"1,504"
,,Uganda,CJ,CTS/National police,Rate,,,,8.0,7.4,8.7,9.1,8.6,8.8,9.8,9.3,10.7,
,,,,,Count,,,,"2,136","2,049","2,492","2,696","2,645","2,793","3,233","3,160","3,753",
,,United Republic of Tanzania,PH,WHO,Rate,,,,,,,,,,,,,12.7
,,,,,Count,,,,,,,,,,,,,"6,071"
,,Zambia,PH,WHO,Rate,,,,,,,,,,,,,10.7
,,,,,Count,,,,,,,,,,,,,"1,501"
,,Zimbabwe,PH,WHO,Rate,,,,,,,,,,,,,10.6
,,,,,Count,,,,,,,,,,,,,"1,450"
,Middle Africa,Angola,PH,WHO,Rate,,,,,,,,,,,,,10.0
,,,,,Count,,,,,,,,,,,,,"2,079"
,,Cameroon,PH,WHO,Rate,,,,,,,,,,,,,7.6
,,,,,Count,,,,,,,,,,,,,"1,654"
,,Central African Republic,PH,WHO,Rate,,,,,,,,,,,,,11.8
,,,,,Count,,,,,,,,,,,,,532
,,Chad,PH,WHO,Rate,,,,,,,,,,,,,7.3
,,,,,Count,,,,,,,,,,,,,907
,,Congo,PH,WHO,Rate,,,,,,,,,,,,,12.5
,,,,,Count,,,,,,,,,,,,,541
,,Democratic Republic of the Congo,PH,WHO,Rate,,,,,,,,,,,,,28.3
,,,,,Count,,,,,,,,,,,,,"18,586"
,,Equatorial Guinea,PH,WHO,Rate,,,,,,,,,,,,,19.3
,,,,,Count,,,,,,,,,,,,,142
,,Gabon,PH,WHO,Rate,,,,,,,,,,,,,9.1
,,,,,Count,,,,,,,,,,,,,148
,,Sao Tome and Principe,CJ,CTS,Rate,,,,,,,2.5,2.4,8.3,2.9,3.4,3.3,
,,,,,Count,,,,,,,4,4,14,5,6,6,
,Northern Africa,Algeria,CJ,CTS,Rate,,,,2.0,1.3,0.6,0.9,0.8,0.9,0.8,0.7,0.7,
,,,,,Count,,,,650,449,204,312,271,328,277,254,280,
,,Egypt,CJ,CTS,Rate,,,,0.7,0.5,0.7,0.8,0.9,1.3,1.2,2.4,3.4,
,,,,,Count,,,,471,322,522,549,680,967,912,"1,839","2,703",
,,Libya,PH,WHO,Rate,,,,,,,,,,,,,1.7
,,,,,Count,,,,,,,,,,,,,103
,,Morocco,CJ,CTS,Rate,1.6,1.9,1.6,1.7,1.6,1.6,1.6,1.7,1.4,1.4,1.4,1.4,2.2
,,,,,Count,461,543,462,510,470,469,498,517,426,432,451,441,704
,,Sudan,PH,WHO,Rate,,,,,,,,,,,,,11.2
,,,,,Count,,,,,,,,,,,,,"4,159"
,,Tunisia,PH,WHO,Rate,,,,,,,,,,,,,2.2
,,,,,Count,,,,,,,,,,,,,235
,Southern Africa,Botswana,PH,WHO,Rate,,,,,,,,,,,,,18.4
,,,,,Count,,,,,,,,,,,,,368
,,Lesotho,CJ,CTS/NSO,Rate,,,,,,,,45.8,38.1,36.3,38.0,,
,,,,,Count,,,,,,,,895,752,723,764,,
,,Namibia,CJ,National police/Interpol,Rate,20.0,18.3,17.7,,17.6,,,,16.8,18.1,14.4,13.9,17.2
,,,,,Count,380,353,346,,352,,,,354,388,314,308,388
,,South Africa,CJ,National police,Rate,48.5,47.0,46.7,42.3,39.5,38.4,39.3,37.3,36.1,33.1,31.0,30.0,31.0
,,,,,Count,"21,758","21,405","21,553","19,824","18,793","18,528","19,202","18,487","18,148","16,834","15,940","15,609","16,259"
,,Swaziland,PH,WHO,Rate,,,,,,,,,,,,,33.8
,,,,,Count,,,,,,,,,,,,,416
,Western Africa,Benin,PH,WHO,Rate,,,,,,,,,,,,,8.4
,,,,,Count,,,,,,,,,,,,,848
,,Burkina Faso,PH,WHO,Rate,,,,,,,,,,,,,8.0
,,,,,Count,,,,,,,,,,,,,"1,311"
,,Cabo Verde,CJ,Judicial police,Rate,,,,,,,,,6.4,6.2,10.7,15.1,10.3
,,,,,Count,,,,,,,,,31,30,52,74,51
,,Côte d'Ivoire,PH,WHO,Rate,,,,,,,,,,,,,13.6
,,,,,Count,,,,,,,,,,,,,"2,691"
,,Gambia,PH,WHO,Rate,,,,,,,,,,,,,10.2
,,,,,Count,,,,,,,,,,,,,182
,,Ghana,PH,WHO,Rate,,,,,,,,,,,,,6.1
,,,,,Count,,,,,,,,,,,,,"1,537"
,,Guinea,PH,WHO,Rate,,,,,,,,,,,,,8.9
,,,,,Count,,,,,,,,,,,,,"1,018"
,,Guinea-Bissau,PH,WHO,Rate,,,,,,,,,,,,,8.4
,,,,,Count,,,,,,,,,,,,,140
,,Liberia,CJ,UN-PKO,Rate,,,,,,,,2.8,4.8,3.8,3.3,3.9,3.2
,,,,,Count,,,,,,,,100,177,145,129,161,135
,,Mali,PH,WHO,Rate,,,,,,,,,,,,,7.5
,,,,,Count,,,,,,,,,,,,,"1,119"
,,Mauritania,PH,WHO,Rate,,,,,,,,,,,,,5.0
,,,,,Count,,,,,,,,,,,,,191
,,Niger,PH,WHO,Rate,,,,,,,,,,,,,4.7
,,,,,Count,,,,,,,,,,,,,803
,,Nigeria,PH,WHO,Rate,,,,,,,,,,,,,20.0
,,,,,Count,,,,,,,,,,,,,"33,817"
,,Senegal,PH,WHO,Rate,,,,,,,,,,,,,2.8
,,,,,Count,,,,,,,,,,,,,379
,,Sierra Leone,CJ,CTS/National police,Rate,,,,,2.3,1.9,1.9,2.5,3.3,2.8,2.8,3.2,1.9
,,,,,Count,,,,,112,99,101,134,184,158,163,187,113
,,Togo,PH,WHO,Rate,,,,,,,,,,,,,10.3
,,,,,Count,,,,,,,,,,,,,684
Americas,Caribbean,Anguilla,CJ,NSO,Rate,9.0,0.0,17.1,16.6,8.1,7.9,31.0,30.4,7.5,,,,
,,,,,Count,1,0,2,2,1,1,4,4,1,,,,
,,Antigua and Barbuda,CJ,OAS,Rate,6.4,8.9,6.2,6.2,4.9,3.6,13.2,20.1,18.7,18.5,6.9,,11.2
,,,,,Count,5,7,5,5,4,3,11,17,16,16,6,,10
,,Aruba,PH,WHO-MDB/PAHO,Rate,,,5.3,4.1,2.0,12.0,9.9,5.9,4.9,3.9,3.9,,
,,,,,Count,,,5,4,2,12,10,6,5,4,4,,
,,Bahamas,CJ,CTS/OAS,Rate,24.9,14.2,16.8,15.8,13.6,15.8,18.2,22.8,21.0,24.5,26.1,34.7,29.8
,,,,,Count,74,43,52,50,44,52,61,78,73,87,94,127,111
,,Barbados,CJ,CTS/OAS,Rate,7.5,9.3,9.3,12.2,8.1,10.6,12.7,9.8,9.0,6.8,11.1,9.6,7.4
,,,,,Count,20,25,25,33,22,29,35,27,25,19,31,27,21
,,British Virgin Islands,PH,WHO-MDB/PAHO,Rate,0.0,4.7,4.6,9.0,17.8,,8.4,,,,,,
,,,,,Count,0,1,1,2,4,,2,,,,,,
,,Cayman Islands,PH,WHO-MDB/PAHO,Rate,9.6,4.9,0.0,7.4,12.3,,2.0,3.9,7.6,14.7,,,
,,,,,Count,4,2,0,3,6,,1,2,4,8,,,
,,Cuba,PH,WHO,Rate,,,,,,,,,,,,,4.2
,,,,,Count,,,,,,,,,,,,,477
,,Dominica,CJ,CTS/OAS,Rate,2.9,1.4,12.9,11.4,11.4,11.3,7.1,9.9,9.9,18.3,21.1,,
,,,,,Count,2,1,9,8,8,8,5,7,7,13,15,,
,,Dominican Republic,CJ,NGO (a)/SES/CTS,Rate,14.0,12.4,14.3,21.0,24.3,25.6,22.6,22.0,24.6,24.0,24.7,24.8,22.1
,,,,,Count,"1,210","1,095","1,279","1,902","2,239","2,394","2,144","2,111","2,394","2,375","2,474","2,513","2,268"
,,Grenada,CJ,CTS/OAS,Rate,14.8,5.9,13.7,8.8,5.8,10.7,11.6,10.6,15.4,6.7,9.6,3.8,13.3
,,,,,Count,15,6,14,9,6,11,12,11,16,7,10,4,14
,,Guadeloupe,CJ,National police,Rate,,,,,5.9,5.2,5.4,6.4,7.1,7.9,,,
,,,,,Count,,,,,26,23,24,29,32,36,,,
,,Haiti ,CJ,UN-PKO,Rate,,,,,,,,5.1,5.2,6.1,6.8,9.1,10.2
,,,,,Count,,,,,,,,486,498,598,677,914,"1,033"
,,Jamaica,CJ,CTS/National police/OAS,Rate,34.4,43.7,39.8,36.8,55.2,62.4,49.7,58.5,59.5,61.6,52.6,41.1,39.3
,,,,,Count,887,"1,139","1,045",975,"1,471","1,674","1,340","1,583","1,618","1,682","1,442","1,133","1,087"
,,Martinique,CJ,National police,Rate,,,,,4.8,4.8,5.8,5.8,4.3,2.7,,,
,,,,,Count,,,,,19,19,23,23,17,11,,,
,,Montserrat,PH,WHO-MDB/PAHO,Rate,0.0,0.0,0.0,0.0,0.0,20.9,20.6,,20.4,,,,
,,,,,Count,0,0,0,0,0,1,1,,1,,,,
,,Puerto Rico,CJ,National police,Rate,18.3,19.7,20.6,20.8,21.1,20.5,19.9,19.6,21.6,24.0,26.5,,26.5
,,,,,Count,695,747,781,787,797,771,748,731,807,894,983,,978
,,Saint Kitts and Nevis,CJ,National police/OAS/CTS,Rate,6.6,13.0,10.7,21.0,22.7,16.3,34.1,31.7,45.0,52.2,40.1,64.2,33.6
,,,,,Count,3,6,5,10,11,8,17,16,23,27,21,34,18
,,Saint Lucia,PH,OAS,Rate,14.7,21.4,26.2,22.3,22.6,24.8,25.6,17.0,22.6,22.3,24.8,,21.6
,,,,,Count,23,34,42,36,37,41,43,29,39,39,44,,39
,,Saint Vincent and the Grenadines,CJ,NGO (b)/OAS/CTS,Rate,18.5,11.1,18.5,16.6,25.8,21.1,11.9,33.0,14.7,18.3,22.9,19.2,25.6
,,,,,Count,20,12,20,18,28,23,13,36,16,20,25,21,28
,,Trinidad and Tobago,CJ,OAS/CTS,Rate,9.5,11.9,13.4,17.8,20.1,29.8,28.5,29.8,41.6,38.3,35.6,26.4,28.3
,,,,,Count,120,151,171,229,260,386,371,391,547,506,473,352,379
,,Turks and Caicos Islands,PH,WHO-MDB/PAHO,Rate,0.0,0.0,11.3,0.0,0.0,0.0,,,6.8,6.6,,,
,,,,,Count,0,0,2,0,0,0,,,2,2,,,
,,United States Virgin Islands,PH,WHO-MDB/PAHO,Rate,22.1,25.8,37.8,28.5,34.2,32.5,40.0,40.1,42.1,46.9,52.6,,
,,,,,Count,24,28,41,31,37,35,43,43,45,50,56,,
,Central Americas,Belize,CJ,CTS/OAS,Rate,17.2,26.1,34.6,25.9,29.8,29.8,33.0,33.9,35.1,32.2,41.8,39.2,44.7
,,,,,Count,41,64,87,67,79,81,92,97,103,97,129,124,145
,,Costa Rica,CJ,CTS/Ministry of Justice/SES,Rate,6.4,6.4,6.3,7.2,6.6,7.8,8.0,8.3,11.3,11.4,11.3,10.0,8.5
,,,,,Count,249,257,258,300,280,335,351,369,512,525,527,474,407
,,El Salvador,CJ,National police/CTS,Rate,39.3,36.9,37.0,36.4,45.8,62.2,64.4,57.1,51.7,70.9,64.1,69.9,41.2
,,,,,Count,"2,341","2,207","2,224","2,197","2,773","3,778","3,928","3,497","3,179","4,382","3,987","4,371","2,594"
,,Guatemala,CJ,CTS/National police/OAS,Rate,25.9,28.1,30.9,35.1,36.4,42.1,45.3,43.4,46.1,46.5,41.6,38.6,39.9
,,,,,Count,"2,904","3,230","3,631","4,237","4,507","5,338","5,885","5,781","6,292","6,498","5,960","5,681","6,025"
,,Honduras,CJ,OCAVI/NSO,Rate,50.9,54.8,55.8,61.4,53.8,46.6,44.3,50.0,60.8,70.7,81.8,91.4,90.4
,,,,,Count,"3,176","3,488","3,623","4,073","3,639","3,212","3,118","3,588","4,455","5,280","6,236","7,104","7,172"
,,Mexico,PH,NSO,Rate,10.3,9.8,9.5,9.3,8.5,9.0,9.3,7.8,12.2,17.0,21.8,22.8,21.5
,,,,,Count,"10,737","10,285","10,088","10,087","9,329","9,921","10,452","8,867","14,006","19,803","25,757","27,213","26,037"
,,Nicaragua,CJ,National police/OAS,Rate,9.3,10.4,10.6,11.9,12.0,13.4,13.1,12.8,13.0,14.0,13.5,12.5,11.3
,,,,,Count,476,537,554,635,646,729,722,714,736,802,785,738,675
,,Panama,CJ,National police,Rate,9.8,9.8,12.0,10.4,9.3,10.8,10.8,12.7,18.4,22.6,20.6,20.3,17.2
,,,,,Count,299,306,380,338,308,364,371,444,654,818,759,759,654
,Northern America,Bermuda,CJ,CTS/National police,Rate,0.0,4.8,1.6,3.1,1.6,3.1,4.7,4.7,7.7,9.3,10.8,12.3,7.7
,,,,,Count,0,3,1,2,1,2,3,3,5,6,7,8,5
,,Canada,CJ,CTS/OAS,Rate,1.6,1.8,1.7,1.7,1.7,1.8,1.7,1.6,1.7,1.6,1.4,1.5,1.6
,,,,,Count,489,553,523,549,550,594,559,539,555,540,492,529,543
,,Greenland,CJ,NSO,Rate,23.1,30.2,21.2,8.8,19.3,17.6,17.6,3.5,10.6,19.4,,,
,,,,,Count,13,17,12,5,11,10,10,2,6,11,,,
,,Saint Pierre and Miquelon,CJ,National police,Rate,,,,,,,0.0,0.0,16.5,16.5,,,
,,,,,Count,,,,,,,0,0,1,1,,,
,,United States of America,CJ,National police/CTS,Rate,5.5,6.6,5.6,5.6,5.5,5.6,5.8,5.6,5.4,5.0,4.7,4.7,4.7
,,,,,Count,"15,586","19,033","16,229","16,528","16,148","16,740","17,309","17,128","16,465","15,399","14,722","14,661","14,827"
